event_id,is_laundering
ibm_35ae25566e16e1c450439f0f,1
ibm_df349ba40f207718c231b76d,0
ibm_eafa9dae47bcdaff105fbb60,0
ibm_a9fe4540532e5bf2c774e101,0
ibm_c99218854b39795892dc9e30,0
ibm_123c12b72be62922ab626eaf,0
ibm_9339f2f72a5a2d342d372179,0
ibm_ea60976aaa376c1a123d1687,0
ibm_e5839c5669f0eca1b56a5845,0
ibm_1496aa2a51bfb7c4ffde5c8f,0
ibm_5a5932ca6fd60ecbb99ee3ee,0
ibm_911c87eb9926d456bdc2d82a,0
ibm_a5c94b9b6f0ae04bd1ad4aec,0
ibm_bb0fdc68d0980870e9192cc4,0
ibm_26fca542e40d7427d6d230c9,0
ibm_3edaf7d72d19e8a082441c20,0
ibm_33252f94a45c29be7b847a5f,1
ibm_d95ea8bc851b57ddb1e79da2,0
ibm_29b719465417b73fe8c74675,0
ibm_0688652a82e6e4f71deb9044,0
ibm_fd3f2c9ba99ab9ce03bf0155,0
ibm_b6cf7632e45146e4460ee3a4,0
ibm_5d29ce0284226054cae56a41,0
ibm_b721e0f204a71a0fdde52ccc,0
ibm_d683959e0649c4e4d798ee63,0
ibm_bd1dc894d041a35c908c8bdf,0
ibm_156a33cc4f2a7647eee4d2b6,0
ibm_bf4eb6cdc57aeaee6f3cb81c,0
ibm_db4193c7533e14ca3c162a7f,0
ibm_3cb1cdeba5909ae75479bd47,0
ibm_d7ff2c2b252c279783acbde2,0
ibm_e340a91b998c7bc198b06efc,0
ibm_5c78a2a13fbb40c2973b6b13,0
ibm_a24466d88f07d478aa131e8a,0
ibm_aa0e4d12afbf7596858877fa,0
ibm_5c1dbd57b2d34b7c7b0108b0,0
ibm_d6ba0e577731bfed9619c918,0
ibm_4ec0c24c47069825cd10cffd,0
ibm_de17a18a8526fdb3fe30456a,0
ibm_4335040fe91ad19be4ba9b23,0
ibm_50100cd7dccffdc93f15841c,0
ibm_dec8e710ac8fee42f8c9532d,0
ibm_17b6a56917604581381c8821,0
ibm_b4d805ed3b55b875928dcca6,0
ibm_c6ad15f0ca20746527d89f4a,0
ibm_9225e0927f7b81c8b12770d7,0
ibm_11524157322eb4573ffb8543,0
ibm_cdbb077479aa3306fe8cae33,0
ibm_cc5866c4ccd1a7c944e42b34,0
ibm_e67e62d23eb0d392788b4845,0
ibm_c470cd9492485dd705472d24,0
ibm_70735dad18bd603488c68531,0
ibm_f1e241e326bf8d1e210c542a,0
ibm_0ec92768f6ed78a8676275d4,0
ibm_097cafe09be3275f9551b586,0
ibm_d06b3671e1f4e52a9335e630,0
ibm_fb79124d6e0598491166afe0,0
ibm_2e6294fbb57db2c5c847a79e,0
ibm_9bdc217bdf501f59fc7246a7,0
ibm_f36e00494b918c3d5f7e3926,0
ibm_6d0ebf71e83ad11ec9bb62cb,0
ibm_35e397b2460b90a17470f2d9,0
ibm_d916414430fbeabf69aecb53,0
ibm_bde8bcc0791e721af03916eb,0
ibm_7a4c32b13c1e710ab935abdc,0
ibm_1a1bad8b167de165521abc4d,0
ibm_3a2b33f97f1e6d641e29c0d9,0
ibm_8c4e92d569c5070407d21129,0
ibm_9daeab0b4f6c982ee2cd768b,0
ibm_49e23cc80c806a18277483cb,1
ibm_90e7929ce890f71c8403f037,0
ibm_f9bead56fb2476cafd256ec4,0
ibm_7bc7b4f50b5db8dd7a03c5e7,0
ibm_1767f04cde8050334751f699,0
ibm_098d75cb73a0b139e0e334b8,0
ibm_b0f1ed55e7dcb6e5c277ad3c,0
ibm_cf3a25c56949aeb6cbb4325d,0
ibm_0176e2929c1783ad6c240bcf,0
ibm_c875aa04696f9be1d2007609,0
ibm_0b7039fa2c30732dfe8e4f63,0
ibm_e084d87afb13421a48cfbb21,1
ibm_2f37ae7aac29d384b5b39f8a,0
ibm_50bbc3e02a1917b1c8f12e41,0
ibm_d40b752e6e277df4c21f0078,0
ibm_f5193f187ae32b56aa832725,0
ibm_24dd8d4e925168167f023831,0
ibm_8b3b3a0fd948800814153ea3,0
ibm_f34a18820de7f1ee84bdd2b0,0
ibm_a2a170dd260af7129c3740f3,0
ibm_5e918e2cf3042063a75ef9e4,0
ibm_fa9de17e16caf262f113badf,0
ibm_79548d3ccbee25647a1f7690,0
ibm_7bf428df2bc6f23462f2b31f,0
ibm_d8b234424312d01b83b8dd94,0
ibm_f7fb9b1fff9e06c36a17390a,0
ibm_5c0df88954921f811e3b61fe,1
ibm_87bce8e7dac9ea1e5a19801b,0
ibm_8da4bb3d220fcdaec58c4895,0
ibm_bb5e7398caada6889b76b7af,0
ibm_a4e11ab541512d532b232f8d,0
ibm_1943f023158a0623b5ee910f,0
ibm_7ffbbaeb18563d9229e676bc,0
ibm_c9c70f1011c1ec4f301b1e24,0
ibm_9905e76842e5f36142536320,0
ibm_66797485b0cffe8e79d48d8d,0
ibm_f39ca25dda9bbfd973da5bdf,0
ibm_f8d3a8d6228ac9f841738296,1
ibm_56ad876467f5b57b950907db,0
ibm_1a0a23ccd798ec1fd8159693,0
ibm_d1298e4004da10e02d37b632,0
ibm_6855dfeaa1d9d98d2325036e,0
ibm_41f52d8a6aef7f844d2297cd,0
ibm_870f0bec119112c3ee2fe309,0
ibm_7bbcbddf58330601eaa6d15d,0
ibm_b6334496f45692006f2e10c8,0
ibm_4d4f4e9d047088d7a319ccc5,0
ibm_8ab36330c5602dd6dda94a99,0
ibm_faff604122d5762447519229,0
ibm_730245d3225a943a36c21d82,0
ibm_21966ad72366ff362fa9232a,0
ibm_192e08c0ab8ba55648967a40,1
ibm_85afbd488b86100c189689ab,0
ibm_6f8aceb583f2ddfb8b960462,0
ibm_e2d2d00efdf28e843e8f7f2e,0
ibm_1ce0a15d54ed8dedbc2ff7e5,0
ibm_b37e2e265b5b8ca762ba1590,0
ibm_9e0a73a19c9880f81ecc3f69,0
ibm_9649088db3b194c3f1ca9df8,0
ibm_9722848518d79cf72bb081df,1
ibm_0be5c719f0751dd6d12ba56f,0
ibm_88ea7925ee177f64a9990f52,0
ibm_f40a584abe115f3a932ed8b8,0
ibm_5dbfa34afde4558ef310a464,0
ibm_a87e6b8c3624a666d85f1be5,0
ibm_117039b34615ae49c26246d3,0
ibm_28212143a03803098de8973a,0
ibm_8fcda055cbee7ccfeb2162e8,0
ibm_92a6127fa4a10f955f3828be,0
ibm_b340a807dc73f5a31ba614ea,0
